"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2023-03-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.2412949732896","","","","","27.7295022782163","","","","","33.1330207576658","","","","","32.5299157261249","","","","","33.7874149827259","","","","","34.7621018587146","","","","","","",
"","AFE","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.85434966826858","","","","","2.44633709979667","","","","","1.79672303399381","","","","","1.57059460245734","","","","","1.45729619514637","","","","","1.73429178887085","","","","","","",
"Afganistán","AFG","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.478024987632141","","","","","0.426423646962574","","","","","0.385327536273078","","","","","0.357787647744167","","","","","0.365657832373532","","","","","1.17554692684705","","","","","","",
"","AFW","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5096771875269","","","","","2.63239332077064","","","","","2.27264787441663","","","","","2.17070550626156","","","","","2.14208687511085","","","","","2.08648649363542","","","","","","",
"Angola","AGO","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.301198701997777","","","","","0.305252009060111","","","","","0.30618970985291","","","","","0.342372570625194","","","","","0.36074065005042","","","","","0.427004679966497","","","","","","",
"Albania","ALB","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.01170030471258","","","","","2.29675797068748","","","","","2.45662587504985","","","","","2.10043436900991","","","","","1.8189568635262","","","","","1.98903641031678","","","","","","",
"Andorra","AND","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.3690814697951","","","","","63.4650922416763","","","","","64.4444104649918","","","","","61.9258091919776","","","","","61.6602897451995","","","","","59.713649198984","","","","","","",
"El mundo árabe","ARB","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.22146153636676","","","","","6.08326315575409","","","","","6.1517716029278","","","","","6.48512002452659","","","","","8.02759703195308","","","","","8.8529067104906","","","","","","",
"Emiratos Árabes Unidos","ARE","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.1283076946857","","","","","77.6157011852649","","","","","80.2154860386187","","","","","73.2051220265347","","","","","87.8402339265255","","","","","88.4040483728066","","","","","","",
"Argentina","ARG","Volúmenes internacionales de migrantes (% de la población)","SM.POP.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.04103912832794","","","","","4.5580148466553","","","","","4.15630021847427","","","","","4.27402481680457","","","","","4.38095838778833","","","","","4.80529233472193","","","","","","",
