N.º;País;Puntuación;PIB per cápita;Apoyo social;Esperanza  de vida saludable;Libertad para tomar decisiones vitales;Generosidad;Percepción de la corrupción
115;Camboya;4.393;1.025;1.024;283;768;176;51
116;Benín;4.374;924;242;124;481;114;253
117;Birmania;4.372;1.032;1.125;269;460;400;194
118;BBangladés;4.282;1.133;513;355;617;139;165
119;Gambia;4.279;761;614;174;286;332;33
120;Malí;4.198;763;637;106;441;121;59
121;Egipto;4.170;1.377;972;326;467;38;250
122;Togo;4.137;770;642;161;367;149;136
123;Jordania;4.120;1.292;980;438;517;56;173
124;Etiopía;4.091;793;1.114;250;451;283;101
125;Liberia;4.042;628;644;141;471;219;71
126;India;4.036;1.159;674;252;685;175;111
127;Madagascar;4.019;632;779;178;187;177;134
128;Zambia;3.982;914;890;95;545;189;80
129;Tanzania;3.694;836;787;214;607;234;269
130;Comoras;3.545;914;327;215;117;129;145
131;Malaui;3.495;637;479;189;490;139;129
132;Botsuana;3.435;1.471;1.041;87;480;21;71
133;República Democrática del Congo;3.207;531;784;105;375;183;68
134;Zimbabue;3.204;758;881;69;363;112;117
135;Sierra Leona;3.138;670;540;92;371;193;51
136;Líbano;2.392;1.417;476;398;123;61;0.02
137;Afganistán;1.859;645;0;87;0;93;59
